d_8_bw_4_r_1136.npz, elapsed time 41.54 sec
d_8_bw_4_r_1166.npz, elapsed time 41.58 sec
d_8_bw_4_r_1195.npz, elapsed time 41.64 sec
d_8_bw_4_r_1226.npz, elapsed time 41.61 sec
d_8_bw_4_r_1256.npz, elapsed time 41.58 sec
d_8_bw_4_r_1286.npz, elapsed time 29.82 sec
d_8_bw_4_r_1311.npz, elapsed time 29.66 sec
d_8_bw_4_r_1327.npz, elapsed time 29.52 sec
d_8_bw_4_r_1349.npz, elapsed time 31.79 sec
d_10_bw_4_r_374.npz, elapsed time 65.94 sec
d_10_bw_4_r_394.npz, elapsed time 81.39 sec
d_10_bw_4_r_423.npz, elapsed time 92.85 sec
d_10_bw_4_r_453.npz, elapsed time 91.47 sec
d_10_bw_4_r_482.npz, elapsed time 92.59 sec
d_10_bw_4_r_510.npz, elapsed time 86.16 sec
d_10_bw_4_r_539.npz, elapsed time 85.73 sec
d_10_bw_4_r_565.npz, elapsed time 93.98 sec
d_10_bw_4_r_595.npz, elapsed time 94.05 sec
d_10_bw_4_r_624.npz, elapsed time 68.00 sec
d_10_bw_4_r_648.npz, elapsed time 80.89 sec
d_10_bw_4_r_675.npz, elapsed time 92.14 sec
d_10_bw_4_r_705.npz, elapsed time 92.87 sec
d_10_bw_4_r_735.npz, elapsed time 92.87 sec
d_10_bw_4_r_766.npz, elapsed time 78.20 sec
d_10_bw_4_r_792.npz, elapsed time 93.45 sec
d_10_bw_4_r_820.npz, elapsed time 72.82 sec
d_10_bw_4_r_837.npz, elapsed time 64.76 sec
d_10_bw_4_r_857.npz, elapsed time 64.92 sec
d_10_bw_4_r_883.npz, elapsed time 65.29 sec
d_10_bw_4_r_905.npz, elapsed time 70.03 sec
d_10_bw_4_r_921.npz, elapsed time 77.31 sec
d_10_bw_4_r_946.npz, elapsed time 77.73 sec
d_10_bw_4_r_974.npz, elapsed time 93.90 sec
d_10_bw_4_r_1004.npz, elapsed time 75.84 sec
d_10_bw_4_r_1030.npz, elapsed time 64.64 sec
d_10_bw_4_r_1047.npz, elapsed time 89.12 sec
d_10_bw_4_r_1075.npz, elapsed time 94.26 sec
d_10_bw_4_r_1104.npz, elapsed time 93.74 sec
d_10_bw_4_r_1133.npz, elapsed time 93.70 sec
d_10_bw_4_r_1165.npz, elapsed time 93.71 sec
d_10_bw_4_r_1193.npz, elapsed time 94.03 sec
d_10_bw_4_r_1223.npz, elapsed time 69.14 sec
d_10_bw_4_r_1247.npz, elapsed time 65.30 sec
d_10_bw_4_r_1271.npz, elapsed time 65.45 sec
d_10_bw_4_r_1288.npz, elapsed time 83.74 sec
d_10_bw_4_r_1313.npz, elapsed time 93.37 sec
d_10_bw_4_r_1343.npz, elapsed time 91.28 sec
d_12_bw_4_r_373.npz, elapsed time 186.40 sec
d_12_bw_4_r_402.npz, elapsed time 186.87 sec
d_12_bw_4_r_432.npz, elapsed time 186.05 sec
d_12_bw_4_r_461.npz, elapsed time 185.62 sec
d_12_bw_4_r_491.npz, elapsed time 185.61 sec
d_12_bw_4_r_521.npz, elapsed time 184.83 sec
d_12_bw_4_r_553.npz, elapsed time 184.73 sec
d_12_bw_4_r_582.npz, elapsed time 185.03 sec
d_12_bw_4_r_613.npz, elapsed time 184.61 sec
d_12_bw_4_r_641.npz, elapsed time 162.74 sec
d_12_bw_4_r_667.npz, elapsed time 184.25 sec
d_12_bw_4_r_697.npz, elapsed time 185.12 sec
d_12_bw_4_r_726.npz, elapsed time 185.73 sec
d_12_bw_4_r_759.npz, elapsed time 186.06 sec
d_12_bw_4_r_788.npz, elapsed time 185.96 sec
d_12_bw_4_r_817.npz, elapsed time 185.49 sec
d_12_bw_4_r_846.npz, elapsed time 184.66 sec
d_12_bw_4_r_878.npz, elapsed time 187.58 sec
d_12_bw_4_r_908.npz, elapsed time 155.86 sec
d_12_bw_4_r_930.npz, elapsed time 187.50 sec
d_12_bw_4_r_960.npz, elapsed time 131.65 sec
d_12_bw_4_r_981.npz, elapsed time 131.63 sec
d_12_bw_4_r_1005.npz, elapsed time 173.26 sec
d_12_bw_4_r_1033.npz, elapsed time 178.82 sec
d_12_bw_4_r_1061.npz, elapsed time 187.10 sec
d_12_bw_4_r_1090.npz, elapsed time 187.51 sec
d_12_bw_4_r_1119.npz, elapsed time 186.53 sec
d_12_bw_4_r_1148.npz, elapsed time 186.51 sec
d_12_bw_4_r_1178.npz, elapsed time 186.14 sec
d_12_bw_4_r_1208.npz, elapsed time 188.51 sec
d_12_bw_4_r_1238.npz, elapsed time 141.34 sec
d_4_bw_4_r_372.npz, elapsed time 10.32 sec
d_4_bw_4_r_396.npz, elapsed time 10.68 sec
d_4_bw_4_r_430.npz, elapsed time 11.26 sec
d_4_bw_4_r_462.npz, elapsed time 11.16 sec
d_4_bw_4_r_493.npz, elapsed time 11.17 sec
d_4_bw_4_r_524.npz, elapsed time 11.18 sec
d_4_bw_4_r_557.npz, elapsed time 11.16 sec
d_4_bw_4_r_588.npz, elapsed time 11.17 sec
d_4_bw_4_r_622.npz, elapsed time 11.17 sec
d_4_bw_4_r_656.npz, elapsed time 11.20 sec
d_4_bw_4_r_685.npz, elapsed time 11.21 sec
d_4_bw_4_r_716.npz, elapsed time 11.19 sec
